Actual,Predicted
2031.47,2308.2673
2302.0,2288.0522
7567.16,10059.47
14520.51,14200.548
11555.24,13406.3125
2635.81,1614.8422
17320.66,18293.775
6234.82,7162.051
9383.56,11315.406
25409.66,25309.64
965.27,1050.1346
27478.97,29000.13
911.0,2385.7524
18713.87,15915.218
1906.41,3289.1301
64402.15,62874.52
412.11,257.58817
38656.8,29577.574
198.0,237.27547
6024.26,7155.166
4717.01,5707.459
18061.92,19096.426
38.61,-173.51552
52.0,230.8926
22378.31,23415.244
13570.38,14296.776
5282.19,5826.607
5.47,-427.8866
31768.52,32158.64
21053.87,21619.832
25196.53,25792.422
25839.47,23166.768
2131.35,2989.603
82706.7,79987.055
22900.25,26080.121
2249.07,2061.68
6578.85,7661.4688
19934.83,17317.078
97428.29,95703.555
15040.12,13542.377
1521.03,1552.8967
10173.07,10680.368
3557.0,1978.1285
92817.62,79948.71
7365.45,7927.0625
22309.31,21718.041
1759.12,1220.552
8272.86,8588.964
769.53,667.5709
53241.75,50704.402
6601.16,7165.024
5341.54,5425.338
63393.59,59459.6
7265.46,7559.858
54962.11,54287.04
18761.89,17778.0
525.0,1123.3804
4620.0,324.19513
185.97,156.05765
403.47,1115.5286
3909.49,3327.7852
22656.74,22398.834
14648.99,16012.33
1097.88,661.68933
4727.5,3194.8994
13441.76,13361.819
18457.52,20375.9
184.8,656.8295
13073.72,14239.659
10909.78,11152.859
53937.13,57877.707
52778.94,55339.375
3941.5,4797.079
58798.23,55193.45
363.11,570.4434
9471.15,11552.012
581.65,1625.9658
76038.4,73588.586
15855.61,15791.93
49325.39,47522.832
5654.96,5990.7417
11536.19,11514.924
53629.24,57676.98
1069.0,2609.8733
49996.41,39943.516
1625.1,1944.148
9.97,-703.99805
90.0,-171.50717
1673.2,1567.4153
21312.57,16603.541
28407.21,35763.113
280.0,898.8189
51377.39,51077.27
10968.99,10409.754
9118.79,5945.2305
4559.0,2537.4873
6096.34,6434.7266
12180.85,13098.617
299.2,583.1307
6603.0,7513.2065
56657.81,59046.145
2400.0,3605.1377
21956.81,29056.967
2239.64,1890.9023
34904.76,34947.902
992.53,941.4049
19002.48,20366.344
13246.56,14004.431
24719.72,23586.918
684.41,282.0125
35268.12,34383.88
1581.0,1696.3907
16836.84,19423.324
1229.53,2252.043
11099.56,13009.8545
3437.18,5017.1235
25358.53,25296.11
213636.03,199049.02
8468.51,12650.95
14945.6,11713.924
538.41,10.914847
15101.98,13798.339
8933.05,10493.1
4115.74,4116.061
12689.81,9784.306
59385.46,57190.863
4186.33,3572.5017
10472.72,7898.5024
53198.33,59218.375
45767.7,47759.062
76.7,741.6872
16077.61,14704.408
539.39,401.20636
14644.62,13541.028
815.0,1793.9553
34629.84,31311.152
331.81,620.06104
23614.36,22357.719
1131.71,1854.5269
121281.6,124820.52
2613.67,3039.6301
1397.0,1504.305
1023.35,453.88794
39984.98,43241.06
55647.51,53674.477
1946.82,1269.3011
10193.77,13263.008
5951.26,8948.331
21137.15,25119.268
51274.97,46853.35
5572.51,4856.5645
1201.18,988.4467
14943.42,17128.914
127610.29,123497.39
34783.98,35161.92
14611.38,13139.292
24581.43,23332.928
2694.89,3042.0034
24056.5,23362.71
4772.42,5668.927
56413.54,51776.37
2705.59,575.3981
22891.12,23800.51
7213.89,5591.7173
950.38,1090.686
603.28,-212.45819
21225.18,19320.215
32.86,614.7098
26497.57,28657.104
4682.22,4627.713
5826.9,4746.114
2613.37,1588.7087
41873.81,39326.027
7405.23,10596.501
45520.55,47495.46
24864.1,25472.844
3719.1,3478.576
11060.03,11593.888
500.0,2478.4956
17473.21,20220.914
61619.71,66372.4
10410.5,11622.501
1229.12,688.73895
10654.48,9134.473
3483.86,4287.314
-19.28,2300.7356
2789.71,1787.112
377.62,183.38663
17197.34,18302.725
2248.54,3119.47
524.76,367.49753
15482.93,16901.256
165.92,-918.03314
4817.44,6253.4175
42613.58,42474.785
13208.38,11596.062
20428.58,19941.277
109612.67,100457.37
273.16,98.0777
8808.02,10226.631
11570.36,13140.158
1095.12,1381.6857
33752.67,32806.164
738.58,267.1752
4423.01,4161.012
5509.03,5739.4546
2759.58,3298.888
30928.23,29606.217
108840.64,112123.73
244.31,47.20292
57180.13,57639.227
4390.99,4367.716
1190.05,1285.0502
10337.14,10726.071
9328.14,6416.954
14263.62,15330.81
21644.93,25278.69
47.26,-34.431168
28203.64,29570.252
45895.22,45494.668
6297.67,4701.71
2288.56,1534.8989
501.13,311.45288
1381.0,-297.29507
11624.56,11740.659
1511.78,1539.3136
2121.88,2933.6335
13265.68,12543.933
83.13,-165.33273
61.76,1341.3309
3698.97,3946.2432
16390.81,14548.459
8068.14,10997.298
5267.16,7100.609
3882.39,1471.1311
7539.78,8580.912
74487.72,74212.234
15138.1,15558.925
14034.59,13363.844
781.43,1339.4725
21940.05,21586.195
312.11,698.44824
440.0,289.55182
1075.91,1037.5826
26216.06,29229.59
4737.32,4719.689
2228.3,4573.8564
14523.65,13160.899
35796.66,31701.764
12672.14,13056.622
5316.44,6164.104
52.5,-154.70973
7346.4,10593.613
12887.91,16456.152
2260.16,1617.0835
12809.79,12550.886
6855.45,12851.889
4461.0,2289.1335
10459.47,12099.64
783.0,303.33035
20830.6,19349.014
4321.83,2861.7004
1831.0,1953.0393
44039.92,38342.633
23257.22,21378.992
25.92,-2.2709868
19176.14,17170.379
3631.7,3881.001
89335.15,82940.95
5269.76,3649.4717
51599.53,50421.676
9.8,-100.5333
22676.48,21195.73
17618.07,13650.3125
19312.34,19508.53
66621.43,63286.812
11546.04,7890.958
107308.17,100285.03
94025.93,97676.16
6361.47,7128.0757
11525.88,10961.754
50728.58,52053.484
26807.18,26178.842
198.0,-148.40532
3890.55,1984.666
1101.57,3533.6716
8361.98,8010.1055
35.88,-516.2281
25504.73,26430.025
21713.03,23295.158
15806.27,13195.598
5520.04,6200.977
8289.2,8977.59
9599.45,8664.172
7760.39,8728.028
15428.79,14025.778
16744.27,16381.099
3785.0,4380.3267
44492.77,43794.945
1483.34,1738.4589
8739.97,8199.032
47450.41,50162.008
9761.74,9421.248
17265.64,18077.826
3052.51,3703.6526
7958.11,7564.029
8974.77,10450.854
6302.36,5882.6978
2917.67,3470.049
459.9,291.7931
1842.92,2174.3606
11883.69,12402.073
3180.74,3011.5264
13363.1,12254.01
13702.59,13140.62
34338.17,37603.633
12.0,-61.788628
5637.52,5174.3154
9988.58,10206.022
95845.19,93755.41
10340.98,10529.935
41824.93,56080.594
3324.22,4742.4624
1622.04,2391.284
72189.67,76745.445
24388.36,29838.955
15.96,-1254.9338
138239.64,120806.5
688.3,660.19617
8638.01,7973.5815
1366.06,2068.1465
5837.67,5937.4805
11437.07,12156.899
1652.94,1617.1932
6098.83,5898.21
8425.01,9587.363
118.92,33.128784
369.0,241.43416
19290.44,19947.03
54629.1,51742.8
67218.32,64548.11
41191.89,42150.125
1099.0,833.55035
7783.09,7725.0713
50661.65,53606.434
32025.22,32549.314
8961.06,9557.77
4324.64,3622.3457
1047.71,727.74695
25.44,-224.64297
23537.69,26015.213
1749.1,3014.4512
2462.04,2180.9602
147.79,-522.3246
1510.38,1854.6218
5512.49,6926.2773
26.04,-1458.3153
38601.17,38635.562
5333.15,5368.5757
8238.77,9136.944
76205.51,75701.1
5509.01,6251.084
11878.01,11434.691
12902.1,11154.273
341.89,47.00561
168.0,-442.54492
867.88,1889.1832
3541.89,3906.0073
28.09,-154.57843
6495.61,5613.3003
3565.21,3764.479
482.98,-330.7474
562.4,477.76212
5.88,420.87677
4609.36,4290.0884
8.71,-658.8321
16975.79,16368.535
49269.79,49455.707
10.0,-1009.20306
1.32,-320.39682
1643.37,2140.9185
30891.9,29713.021
759.34,1173.755
1915.36,3249.4265
67094.4,67203.11
27126.28,28380.176
20840.88,19080.553
24638.59,26012.043
3497.7,3584.063
43.74,-286.41714
191.72,1718.1642
11681.34,10496.714
7643.44,6373.4688
17492.88,19653.77
668.1,1070.9563
6975.13,7548.203
27510.71,26828.76
9545.03,9435.328
9706.1,10975.548
52220.54,48699.555
40141.8,43662.406
8231.24,9332.466
33936.65,33414.535
168.84,1877.6368
1157.69,470.49484
37074.07,37432.254
9250.06,9295.808
67393.14,66848.875
13110.86,11295.239
-48.0,-1525.1964
66687.72,63393.566
6489.22,6585.476
6.0,-938.5626
79558.01,83428.2
5042.58,5076.8306
26601.76,29951.678
1723.76,1706.0221
7304.29,7941.8164
26988.79,25876.057
2883.3,2283.75
59595.92,59851.383
16355.99,18457.762
8337.5,8787.623
3394.37,3813.375
58796.68,60169.598
49750.27,49531.797
355.1,-144.30344
6048.45,5774.4214
10868.65,9869.17
5968.26,6215.2236
616.01,1367.5812
16438.95,19510.291
2680.0,2618.0132
88281.0,86217.875
30497.85,29880.42
3497.69,3348.6611
28194.5,28756.84
61443.35,63394.605
20469.78,20120.44
3101.47,3443.1675
1738.4,1929.3654
10.0,181.86133
7694.75,5978.3335
51664.23,49299.957
45454.54,46192.223
2264.9,3020.57
12086.17,12224.483
603.81,970.82117
7405.07,9303.75
53669.24,50315.926
7965.78,8150.8013
580.8,-1032.6727
797.6,1053.2427
7574.74,7442.351
4083.0,4977.244
25.0,-347.32062
93720.35,85062.16
2711.36,1757.3682
29246.72,26599.719
193.6,-223.18033
22873.04,22029.348
2613.89,2814.384
2807.94,3409.91
3373.0,2105.591
2965.3,3243.3982
1309.49,619.9167
4866.55,3826.1013
1374.28,1066.2001
22941.73,22519.262
5188.26,5680.481
7264.75,6727.7324
46271.99,46218.516
29.19,-47.86646
119799.68,112087.51
26.42,576.14136
12.4,21935.844
8.24,6124.57
329.96,249.28242
409.92,262.6898
17461.44,26234.764
16559.63,14538.88
4766.98,7904.941
12757.86,15133.166
97946.52,92381.93
415.84,545.6711
19740.37,18042.479
12307.73,9955.387
11039.33,9733.746
5465.43,4528.258
541.45,802.28485
75354.27,74023.586
1111.31,1650.7936
2845.0,3754.5427
19776.1,21467.521
31724.19,29086.412
5301.34,5645.9023
10366.0,11167.481
104409.09,93525.11
1946.92,1253.0477
3170.72,3532.373
16528.46,16974.918
6143.11,7369.4473
6412.34,6414.581
9363.39,10610.352
13358.24,20895.932
21838.72,23922.125
10686.32,11052.357
510.4,975.42126
6352.14,10374.564
4246.32,3582.5908
1644.0,862.4865
35019.69,38503.48
487.59,558.4757
14942.43,15110.623
18878.85,21816.346
33.16,-316.10834
293.91,-54.313786
30950.07,31153.725
15013.4,16913.078
24420.58,23277.785
5284.26,5982.392
5162.49,5288.9443
2770.0,1191.0977
27453.68,31478.42
3749.78,4351.2246
47144.26,45566.496
8432.89,10149.2
5720.94,7847.8384
53104.95,51275.016
25293.05,27524.678
802.0,1970.9808
54486.53,60882.63
7144.45,6723.2495
13295.1,14097.066
13587.57,13653.51
22152.98,24894.906
21929.73,21670.545
148.93,-366.18488
21088.74,21690.412
38076.86,38857.11
12878.52,12953.047
995.0,3710.6526
6475.28,4845.298
21802.47,23193.193
3628.82,4326.23
7651.82,7288.529
21252.8,22676.283
11350.88,12838.583
4041.1,3524.2515
32642.16,31839.215
25793.98,30990.963
2232.65,3693.5378
30024.36,31693.273
188.04,1200.7233
237.41,177.02432
19262.07,18264.201
3425.76,4552.1504
7308.26,7746.617
1803.59,3141.5144
272.19,427.93597
4075.42,4729.944
93362.04,91329.0
19119.95,18805.264
8381.28,7837.2236
5499.78,5240.4033
11226.44,12487.009
27367.93,28238.326
4.0,79.26039
3912.89,5263.0186
1515.0,1563.4805
942.0,347.158
29.45,46.381638
450.67,2078.7224
47526.06,48639.55
11620.68,10431.847
2497.72,3127.2954
159.68,404.64517
81194.17,83632.66
9411.6,10855.368
22817.02,22662.537
26697.88,20008.281
554.4,-528.90967
85.88,-36.361164
14001.84,12826.375
5787.31,5695.4004
3377.24,3166.3638
3240.95,3470.2917
960.24,1324.7242
11096.36,13229.235
29247.34,28831.516
1261.13,722.2588
61.6,-101.58087
1669.63,3528.0247
396.0,990.9677
45280.89,46172.645
5008.31,4138.9907
16077.28,18497.525
136149.72,139749.66
0.5,-78.58115
40199.66,42064.082
3310.0,1271.3676
12795.3,12451.339
1094.09,1901.7408
1330.44,1473.142
42556.7,43620.77
31514.3,21067.32
176.83,627.82947
372.5,1.9973465
3773.42,3646.097
7242.79,7497.5664
3718.53,6067.803
3087.3,3157.8057
3373.8,2284.8987
62831.33,63112.188
2479.64,2497.4702
7738.47,8097.1577
2780.59,878.4669
7638.46,6676.7
31116.28,29746.363
20374.19,22420.717
7930.05,7950.883
16085.84,15553.758
2107.16,1284.5232
14017.47,13748.722
10591.94,11687.545
140756.28,139232.69
25.22,-531.416
9610.63,12229.328
6525.18,5311.3433
11268.5,13423.939
18.05,-212.38142
3027.85,2654.5076
4113.74,5586.4087
21728.99,19524.973
35.2,-198.57565
12856.76,13711.991
4509.32,5653.582
11397.62,9313.682
182.79,-726.71204
1340.61,1494.1306
60931.92,65018.37
4434.93,4654.7627
2856.38,2533.487
12496.08,12647.39
34999.71,38106.242
919.84,1789.6415
3943.71,3914.9014
3418.96,3292.5046
4409.32,5179.611
1320.34,1883.4174
22787.62,23658.666
21231.37,20326.0
2973.35,5014.211
16974.86,17331.865
9515.76,10556.784
4311.0,4019.0103
262.37,669.44666
15.04,892.4786
6810.12,6640.0664
7248.48,7008.8384
443.42,1415.3594
16812.74,16241.925
7430.58,7534.553
4325.78,5289.202
27210.27,27186.775
2329.99,2791.858
2572.41,2008.6697
29515.91,30110.984
96.57,1125.3898
4616.55,4758.1406
2480.73,2038.9696
1883.36,2834.1619
5113.51,5681.2334
52162.63,53208.27
2417.69,2033.5627
3444.14,2326.0093
33948.72,33186.418
2535.91,3868.541
13435.23,13336.151
11025.4,9492.675
71.82,-1138.2206
54.32,528.8231
2900.43,2347.6938
18197.85,18062.418
367.56,1152.8447
14051.68,12271.386
10080.19,9217.364
37121.18,41858.59
6602.84,5459.5674
15205.51,12683.806
22171.93,21581.234
11402.38,8923.087
1707.78,1737.287
52599.61,53190.137
34713.24,35257.8
4301.1,3076.343
6525.92,7675.9717
23042.32,25193.752
7136.66,7167.3057
159049.57,144742.58
2237.72,1798.4534
7749.59,6919.194
39.0,1270.2502
911.0,-828.8866
82139.05,80718.92
2089.65,1262.7013
983.5,151.70631
7828.32,7298.8135
18592.33,17337.887
5.0,1909.5376
326.67,-295.4372
73049.68,69688.5
9200.13,8985.346
22736.67,22255.125
12819.89,12151.799
21283.61,22041.535
1361.38,1885.9276
47770.77,43852.723
10018.94,9238.8
12504.91,13103.343
22565.26,21464.744
1025.87,-4350.1533
9634.0,8163.584
46866.41,45361.49
20627.04,21600.238
3343.26,3414.767
3330.78,4329.2695
5563.13,5607.5396
1193.0,812.3064
5.77,62.797997
16447.98,15447.134
39.76,676.49243
1959.89,2107.23
308.0,1799.508
40388.61,41532.133
9450.87,12089.738
15654.0,14480.701
9347.18,10257.729
1588.02,1038.9746
21955.39,20087.18
7211.87,10201.915
8173.52,9455.646
648.84,426.61615
2695.14,2769.4392
50949.88,45775.44
7213.05,7614.191
739.2,1713.57
6630.0,6217.7095
5645.36,6118.895
614.37,1924.2931
5391.44,4999.0337
34.88,-116.332695
108906.3,108163.16
13644.57,11493.189
1651.0,1916.4678
121.9,-297.21722
1442.33,1341.1058
35131.26,36033.234
16471.26,13009.136
6701.77,7194.5825
91.84,1398.8408
8082.11,8285.685
39155.04,34102.355
3640.11,1564.4749
2017.68,2908.5562
864.93,-736.82404
7104.77,6057.1787
4053.51,3032.1038
15989.7,17492.617
383.02,2062.8186
26375.55,32672.508
9133.03,9768.473
3734.84,3249.9424
6792.68,6774.977
14241.69,13641.494
40957.98,40791.805
11449.42,8639.041
57125.62,63835.746
15634.54,21641.309
3860.68,2670.9766
3107.5,3943.5115
23220.46,24967.305
15709.04,14738.421
13501.52,12135.537
37626.12,27659.686
20181.15,24824.709
38991.16,35830.12
1542.95,1979.4697
11138.69,9471.9375
8759.98,8574.754
45955.87,42689.453
426.5,748.3847
1398.16,2459.6367
17488.71,16833.523
378.68,183.11272
21650.98,20423.104
17637.53,13972.979
21685.48,19279.277
25954.84,29998.63
562.66,574.10333
74780.56,70656.195
285.0,4729.628
398.41,129.4232
17.23,-591.0063
55508.66,40221.71
13626.25,15088.334
13883.66,12951.798
24.0,206.6114
11617.0,12386.0625
10288.62,9469.128
3057.95,2591.4187
11835.75,10968.705
2074.25,1406.2645
10609.22,9180.915
18291.5,20402.115
15817.1,15615.517
15576.37,14820.923
395.0,2183.417
1017.29,916.7098
6484.6,6459.6084
5385.26,7426.884
73829.21,70373.18
20620.67,18871.984
6723.67,5988.3896
36453.53,41389.402
12487.67,12906.704
2232.71,2708.6206
1932.93,1570.2358
2799.16,4123.269
14929.87,20557.164
20949.56,20535.47
4662.91,6081.6235
39929.87,40412.492
-7.97,678.1282
6022.62,5593.1006
23602.07,21491.576
195.97,128.05815
3825.82,4198.714
4646.28,4315.394
37111.01,36131.59
26997.75,31470.438
18612.61,18379.361
1873.28,3065.4338
310.32,1064.5044
7.5,427.5965
11197.6,11190.294
1872.98,1466.496
533.36,924.57434
4612.72,5141.6353
292.5,-617.9553
6902.98,5969.013
202.33,-2136.2966
139785.71,138616.86
